HeapSort;rand 0 to 4000;3100;1629124
HeapSort;rand 0 to 4000;4100;2237956
HeapSort;almost sorted 1 to 4100;50;21294
HeapSort;almost sorted 1 to 4100;100;39766
HeapSort;almost sorted 1 to 4100;150;57203
HeapSort;almost sorted 1 to 4100;200;72100
HeapSort;almost sorted 1 to 4100;250;98311
HeapSort;almost sorted 1 to 4100;300;119773
HeapSort;almost sorted 1 to 4100;1100;693882
HeapSort;almost sorted 1 to 4100;2100;1099519
HeapSort;almost sorted 1 to 4100;3100;1656503
HeapSort;almost sorted 1 to 4100;4100;2183398
HeapSort;reverse sorted 1 to 4100;50;13427
HeapSort;reverse sorted 1 to 4100;100;32492
HeapSort;reverse sorted 1 to 4100;150;51697
HeapSort;reverse sorted 1 to 4100;200;77247
HeapSort;reverse sorted 1 to 4100;250;97270
HeapSort;reverse sorted 1 to 4100;300;147041
HeapSort;reverse sorted 1 to 4100;1100;535818
HeapSort;reverse sorted 1 to 4100;2100;1042102
HeapSort;reverse sorted 1 to 4100;3100;1662939
HeapSort;reverse sorted 1 to 4100;4100;2315585
MergeSort;rand 0 to 5;50;55083
MergeSort;rand 0 to 5;100;120480
MergeSort;rand 0 to 5;150;202843
MergeSort;rand 0 to 5;200;277829
MergeSort;rand 0 to 5;250;298471
MergeSort;rand 0 to 5;300;397296
MergeSort;rand 0 to 5;1100;1458861
MergeSort;rand 0 to 5;2100;2778647
MergeSort;rand 0 to 5;3100;4608142
MergeSort;rand 0 to 5;4100;5389934
MergeSort;rand 0 to 4000;50;56290
MergeSort;rand 0 to 4000;100;149099
MergeSort;rand 0 to 4000;150;243272
MergeSort;rand 0 to 4000;200;252272
MergeSort;rand 0 to 4000;250;330631
MergeSort;rand 0 to 4000;300;491923
MergeSort;rand 0 to 4000;1100;1484537
MergeSort;rand 0 to 4000;2100;2815802
MergeSort;rand 0 to 4000;3100;4347086
MergeSort;rand 0 to 4000;4100;5611315
MergeSort;almost sorted 1 to 4100;50;57952
MergeSort;almost sorted 1 to 4100;100;118404
MergeSort;almost sorted 1 to 4100;150;188783
MergeSort;almost sorted 1 to 4100;200;251259
MergeSort;almost sorted 1 to 4100;250;304978
MergeSort;almost sorted 1 to 4100;300;391967
MergeSort;almost sorted 1 to 4100;1100;1455266
MergeSort;almost sorted 1 to 4100;2100;3032250
MergeSort;almost sorted 1 to 4100;3100;4351945
MergeSort;almost sorted 1 to 4100;4100;5547028
MergeSort;reverse sorted 1 to 4100;50;57432
MergeSort;reverse sorted 1 to 4100;100;119616
MergeSort;reverse sorted 1 to 4100;150;195960
MergeSort;reverse sorted 1 to 4100;200;254441
MergeSort;reverse sorted 1 to 4100;250;326560
MergeSort;reverse sorted 1 to 4100;300;512661
MergeSort;reverse sorted 1 to 4100;1100;1456336
MergeSort;reverse sorted 1 to 4100;2100;2760122
MergeSort;reverse sorted 1 to 4100;3100;4563089
MergeSort;reverse sorted 1 to 4100;4100;5476611
QuickSort;rand 0 to 5;50;5233
QuickSort;rand 0 to 5;100;13111
QuickSort;rand 0 to 5;150;17754
QuickSort;rand 0 to 5;200;25966
QuickSort;rand 0 to 5;250;33793
QuickSort;rand 0 to 5;300;40461
QuickSort;rand 0 to 5;1100;190387
QuickSort;rand 0 to 5;2100;321166
QuickSort;rand 0 to 5;3100;599911
QuickSort;rand 0 to 5;4100;642498
QuickSort;rand 0 to 4000;50;5876
QuickSort;rand 0 to 4000;100;9334
QuickSort;rand 0 to 4000;150;14753
QuickSort;rand 0 to 4000;200;14170
QuickSort;rand 0 to 4000;250;20889
QuickSort;rand 0 to 4000;300;21955
QuickSort;rand 0 to 4000;1100;104120
QuickSort;rand 0 to 4000;2100;191383
QuickSort;rand 0 to 4000;3100;292003
QuickSort;rand 0 to 4000;4100;389117
QuickSort;almost sorted 1 to 4100;50;4772
QuickSort;almost sorted 1 to 4100;100;6710
QuickSort;almost sorted 1 to 4100;150;10906
QuickSort;almost sorted 1 to 4100;200;16485
QuickSort;almost sorted 1 to 4100;250;14195
QuickSort;almost sorted 1 to 4100;300;17952
QuickSort;almost sorted 1 to 4100;1100;72131
QuickSort;almost sorted 1 to 4100;2100;149788
QuickSort;almost sorted 1 to 4100;3100;236348
QuickSort;almost sorted 1 to 4100;4100;313053
QuickSort;reverse sorted 1 to 4100;50;5022
QuickSort;reverse sorted 1 to 4100;100;8577
QuickSort;reverse sorted 1 to 4100;150;10987
QuickSort;reverse sorted 1 to 4100;200;14541
QuickSort;reverse sorted 1 to 4100;250;16017
QuickSort;reverse sorted 1 to 4100;300;19907
QuickSort;reverse sorted 1 to 4100;1100;70088
QuickSort;reverse sorted 1 to 4100;2100;141116
QuickSort;reverse sorted 1 to 4100;3100;234566
QuickSort;reverse sorted 1 to 4100;4100;285867
